contract_number,county,project_description,project_length,project_length_unit
CNW319,"ANDERSON, BLOUNT, CAMPBELL, COCKE, GRAINGER, JEFFERSON, KNOX, LOUDON, MONROE, ROANE, AND SEVIER",THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW321,"ANDERSON, BLOUNT, CAMPBELL, COCKE, GRAINGER, JEFFERSON, KNOX, LOUDON, MONROE, ROANE, AND SEVIER",THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW300,BEDFORD,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW298,BLOUNT,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW293,BRADLEY,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW334,"BRADLEY, GRUNDY, HAMILTON, MARION, PUTNAM, SEQUATCHIE, AND WHITE",THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW335,"BRADLEY, GRUNDY, HAMILTON, MARION, PUTNAM, SEQUATCHIE, AND WHITE",THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW328,CAMPBELL,SIGNAL UPGRADES ON U.S. 25W (S.R. 9) AT S.R. 116 (L.M. 32.18) IN CARYVILLE.,0.176,MILES
CNW348,CANNON,"THE GRADING, DRAINAGE AND PAVING ON U.S. 70S (S.R. 1) FROM NEAR BARKER ROAD (L.M. 1.15) TO EAST OF HOOVER ROAD (L.M. 2.50).",1.335,MILES
CNW302,CARTER,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW317,"CARTER, SULLIVAN, UNICOI, AND WASHINGTON",THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW337,CHEATHAM,"THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS, INCLUDING SPOT RESURFACING.",0,MILES
CNW314,"DAVIDSON, HUMPHREYS, MONTGOMERY, ROBERTSON, RUTHERFORD, SUMNER, WILLIAMSON, AND WILSON",THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW315,"DAVIDSON, MONTGOMERY, ROBERTSON, RUTHERFORD, SUMNER, WILLIAMSON, AND WILSON",THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW301,DECATUR,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW303,DICKSON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW313,DICKSON,"THE SIGNAL UPGRADES ON U.S. 70 (S.R. 1) FROM NEAR NORTH CHARLOTTE STREET (L.M. 9.16) TO NEAR SPRING STREET/PUMP HILL ROAD (L.M. 9.57) IN DICKSON, INCLUDING THE INTERSECTION OF S.R. 48.",0.41,MILES
CNW324,GRUNDY,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW308,HARDIN,THE REPAIR OF THE BRIDGE ON U.S. 64 (S.R. 15) OVER THE TENNESSEE RIVER (L.M. 6.29).,0,MILES
CNW322,HAYWOOD,"THE GRADING, DRAINAGE AND PAVING ON I-40 AT THE U.S. 70 (S.R. 1) ENTRANCE AND EXIT RAMPS (EXIT 66).",0.936,MILES
CNW304,HUMPHREYS,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW338,JACKSON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 85 FROM THE GAINESBORO CITY LIMITS (L.M. 15.57) TO BROWN STAFFORD CEMETERY LANE (L.M. 19.06).,3.49,MILES
CNW318,JEFFERSON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW307,JEFFERSON,"THE GRADING, DRAINAGE AND PAVING AT THE I-40 REST AREA WESTBOUND RAMPS (L.M. 15.68).",0.776,MILES
CNW327,LAUDERDALE,THE CONSTRUCTION OF PEDESTRIAN FACILITIES AND SIGNAL UPGRADES ON S.R. 87 FROM S.R. 209 (MAIN STREET) TO S.R. 209 (MAIN STREET) IN HENNING (L.M. 20.47 - L.M. 20.70).,0.055,MILES
CNW345,MADISON,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SUPPORTING HIGHWAY 223 EAST SITE (S.R. 223 AND FIBERGLASS ROAD).",0.513,MILES
CNW349,MARION,"THE MISCELLANEOUS SAFETY IMPROVEMENTS ON U.S. 41 (U.S. 64, U.S. 72, S.R. 2) FROM THE JASPER CITY LIMITS (L.M. 19.07) TO S.R. 27 (L.M. 19.25).",1.764,MILES
CNW339,MCMINN,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW329,MCNAIRY,"THE GRADING, DRAINAGE AND PAVING ON U.S. 64 (S.R. 15) FOR A S.I.A. ROUTE SUPPORTING TYSON HATCHERY (L.M. 16.78 - L.M. 16.88).",0.115,MILES
CNW306,PERRY,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW316,SEVIER,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW330,SHELBY,THE INSTALLATION OF AN OVERHEAD SIGN STRUCTURE ON I-40 EB AT L.M. 13.18.,0,MILES
CNW344,SHELBY,THE DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW341,TIPTON,"THE GRADING, DRAINAGE, SIGNALS AND PAVING ON U.S. 51 (S.R. 3) AT THE INTERSECTION OF KENWOOD AVENUE (L.M. 8.96) IN BRIGHTON.",0.207,MILES
CNW212,WARREN,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SERVING MOTLOW ADVANCED ROBOTICS IN MCMINNVILLE, INCLUDING INTERSECTION IMPROVEMENTS AT U.S. 70S (S.R. 1) AND S.R. 380.",0.158,MILES
CNW312,WASHINGTON,"THE GRADING, DRAINAGE, SIGNALS AND PAVING ON A S.I.A. ROUTE SERVING LPI, INC.",0.206,MILES
CNW347,WEAKLEY,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 43 FROM NEAR THE MIDDLE FORK OBION RIVER BRIDGE (L.M. 6.30) TO NEAR WHITE CLAY ROAD (L.M. 7.60).,1.3,MILES
CNW332,WEAKLEY,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW311,WILSON,"THE GRADING, DRAINAGE, SIGNALS AND PAVING ON S.R. 109 AT THE I-40 RAMPS (L.M. 4.02).",0.258,MILES
CNW260,"CHEATHAM, DAVIDSON, ROBERTSON, RUTHERFORD, SUMNER, WILLIAMSON, AND WILSON",THE RANDOM ON-CALL ASPHALT POTHOLE PATCHING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW921,DAVIDSON,"THE RESURFACING ON I-40 FROM U.S. 70S (S.R. 1) (L.M. 4.71) TO NEAR U.S. 70 (S.R. 24, CHARLOTTE PIKE) (L.M. 9.61), INCLUDING BRIDGE DECK REPAIRS AND THIN EPOXY OVERLAY.",4.9,MILES
CNW925,FAYETTE AND SHELBY,THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW926,MOORE,"THE GRADING, DRAINAGE, CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE AND PAVING ON S.R. 55 FROM NEAR GOODBRANCH ROAD (L.M. 2.80) TO NEAR MOORE COUNTY HIGH SCHOOL (L.M. 3.00).",0.568,MILES
CNW922,ROBERTSON,THE RESURFACING ON I-65 FROM THE SUMNER COUNTY LINE (L.M. 0.00) TO THE BRIDGE OVER HONEY RUN CREEK (L.M. 7.47).,7.47,MILES
CNW924,ROBERTSON,"THE REPAIR OF BRIDGES ON S.R. 49 (L.M. 0.14), S.R. 256 (L.M. 0.39), GAUSE ROAD AND JACK TEASLEY ROAD, OVER I-24.",0.386,MILES
CNW381,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, HAMBLEN, HANCOCK, HAWKINS, JEFFERSON,
JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",THE ON-CALL CONCRETE PAVEMENT REPAIR AT VARIOUS LOCATIONS ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW382,"ANDERSON, CAMPBELL, KNOX, AND SULLIVAN",THE INSTALLATION OF LONGITUDINAL CABLE BARRIER ON VARIOUS INTERSTATE ROUTES.,0,MILES
CNW376,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",THE ON-CALL CONCRETE PAVEMENT REPAIR AT VARIOUS LOCATIONS ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW375,"BEDFORD, DICKSON, HICKMAN, HUMPHREYS, RUTHERFORD, AND WILLIAMSON",THE INSTALLATION OF LONGITUDINAL CABLE BARRIER ON VARIOUS INTERSTATE ROUTES.,0,MILES
CNW384,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDEMAN, HARDIN, HAYWOOD,
HENDERSON, HENRY, LAKE, LAUDERDALE, MADISON, MCNAIRY, OBION, SHELBY, TIPTON, AND WEAKLEY",THE ON-CALL CONCRETE PAVEMENT REPAIR AT VARIOUS LOCATIONS ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW379,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON, JACKSON,
MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",THE ON-CALL CONCRETE PAVEMENT REPAIR AT VARIOUS LOCATIONS ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW366,BLOUNT,THE INSTALLATION OF SIGNALS ON S.R. 333 AT S.R. 334 (LOUISVILLE ROAD) AND TOPSIDE ROAD IN LOUISVILLE (L.M. 9.03).,0.143,MILES
CNW320,BLOUNT,"THE GRADING, DRAINAGE, CONSTRUCTION OF A CONCRETE BOX BRIDGE, SIGNALS AND PAVING ON A S.I.A. ROUTE (INCLUDING S.R. 334) SERVING PROJECT PYTHON METEOR.",0.322,MILES
CNW372,BRADLEY,THE INSTALLATION OF AN OVER HEIGHT WARNING SYSTEM ON U.S. 64 (S.R. 40) FROM NEAR PARKER STREET NE TO NEAR S.R. 74 (WILDWOOD AVENUE) IN CLEVELAND (L.M. 0.82 - L.M. 1.06).,0.344,MILES
CNW367,CAMPBELL,THE RESURFACING ON I-75 FROM NEAR MILE POST 147 (L.M. 17.41) TO NEAR MILE POST 154 (L.M. 24.52).,7.11,MILES
CNW279,CAMPBELL,THE STREAM MITIGATION FOR DOG CREEK IN COVE LAKE STATE PARK.,0.358,MILES
CNW354,CHEATHAM,THE RESURFACING ON I-40 FROM THE WILLIAMSON COUNTY LINE (L.M. 0.00) TO THE DAVIDSON COUNTY LINE (L.M. 7.15).,7.15,MILES
CNW358,CHEATHAM,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SERVING CAYMAS BOATS AND NASHVILLE FABRICATION, AND ON S.R. 12 SUPPORTING NASHVILLE FABRICATORS AND ENGINEERS (FROM NEAR L.M. 1.74 TO NEAR L.M. 2.37) IN ASHLAND CITY.",0.892,MILES
CNW352,CLAY,THE REPAIR OF THE BRIDGE ON S.R. 52 OVER TRACE CREEK (L.M. 2.25).,0,MILES
CNW374,"COFFEE, CUMBERLAND, GRUNDY, HAMILTON, MARION, AND PUTNAM",THE INSTALLATION OF LONGITUDINAL CABLE BARRIER ON VARIOUS INTERSTATE ROUTES.,0,MILES
CNW373,CUMBERLAND,THE CONSTRUCTION OF A ROUNDABOUT ON U.S. 70 (S.R. 1) AT THE INTERSECTION OF S.R. 392 (MILO LEMERT PARKWAY) AND S.R. 101 (PEAVINE ROAD) (L.M. 17.05 - L.M. 17.40).,0.286,MILES
CNW388,"DAVIDSON, ROBERTSON, RUTHERFORD, SUMNER, WILLIAMSON, AND WILSON",THE NASHVILLE SMARTWAY INTELLIGENT TRANSPORTATION SYSTEM (ITS) MAINTENANCE (2023 - 2026).,0,MILES
CNW383,"FAYETTE, MADISON, AND SHELBY",THE INSTALLATION OF LONGITUDINAL CABLE BARRIER ON VARIOUS INTERSTATE ROUTES.,0,MILES
CNW387,FAYETTE AND SHELBY,"RESURFACING ON I-269 IN SHELBY COUNTY FROM THE FAYETTE COUNTY LINE NEAR S.R. 193 (L.M. 0.63), CROSSING IN/OUT OF FAYETTE COUNTY TO I-40 IN SHELBY COUNTY (L.M. 6.83), INCLUDING BRIDGE DECK REPAIR AND THIN EPOXY OVERLAY.",7.48,MILES
CNW357,GILES,THE RESURFACING ON I-65 FROM THE ALABAMA STATE LINE (L.M. 0.00) TO SOUTH OF U.S. 64 (S.R. 15) (L.M. 13.72) INCLUDING THIN EPOXY OVERLAY ON THE BRIDGE OVER S.R. 273.,13.72,MILES
CNW264,GRAINGER,THE SLOPE STABILIZATION ON U.S. 25E (S.R. 32) NEAR THE PYRITE ENCAPSULATION SITE AT L.M. 7.2.,0.123,MILES
CNW371,GRUNDY,THE CONSTRUCTION OF A TDOT MAINTENANCE BUILDING AT 9216 S.R. 56 IN COALMONT.,0,MILES
CNW377,HAYWOOD,"THE REPAIR OF BRIDGES ON U.S. 70 (S.R. 1) OVER BRANCH OF NIXON CREEK (L.M. 19.60), OVER BRANCH OF MUD CREEK (L.M. 22.64), AND OVER MUD CREEK (L.M. 24.24).",0,MILES
CNW378,HENDERSON,"THE RESURFACING ON I-40 FROM WEST OF S.R. 22 (L.M. 12.71) TO THE BRIDGE OVER MORRIS CREEK (L.M. 20.31), INCLUDING BRIDGE DECK REPAIR AND THIN EPOXY OVERLAY.",7.6,MILES
CNW299,HUMPHREYS,"THE CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE ON TATUM LANE OVER BLUE CREEK (L.M. 0.09), INCLUDING GRADING, DRAINAGE AND PAVING.",0.236,MILES
CNW368,JEFFERSON,"THE RESURFACING ON I-40 FROM THE SEVIER COUNTY LINE (L.M. 0.00) TO NEAR U.S. 25W (U.S. 70, S.R. 9) (L.M. 5.94).",5.94,MILES
CNW369,KNOX,THE REPAIR OF FOUR (4) BRIDGES ON OR OVER I-275 AT BAXTER AVENUE AND HEISKELL AVENUE BETWEEN L.M. 0.68 AND L.M. 2.25.,0.21,MILES
CNW151,LAUDERDALE,"THE IMPROVEMENT OF THE INTERSECTION ON U.S. 51 (S.R. 3) AT CURVE NANKIPOO ROAD (L.M. 14.43), INCLUDING GRADING, DRAINAGE AND PAVING.",0.374,MILES
CNW370,LOUDON,"THE INTERCHANGE IMPROVEMENT ON I-75 AT S.R. 72 IN LOUDON (L.M. 5.65), INCLUDING GRADING, DRAINAGE AND PAVING WITH PORTLAND CEMENT CONCRETE.",0.117,MILES
CNW385,MADISON,THE IMPROVEMENT OF THE INTERSECTION ON U.S. 45E (S.R. 43) AT GREEN VALLEY FARMS (L.M. 0.53 - L.M. 0.84).,0.309,MILES
CNW153,MARSHALL,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON U.S. 31A (S.R. 11, NASHVILLE HIGHWAY) OVER ROCK CREEK (L.M. 13.18) IN LEWISBURG, INCLUDING GRADING, DRAINAGE AND PAVING.",0.149,MILES
CNW365,MCMINN,THE CABLE BARRIER AND GUARDRAIL INSTALLATION AT VARIOUS LOCATIONS ON I-75 AND S.R. 39.,0.451,MILES
CNW359,PUTNAM,THE RESURFACING ON I-40 FROM THE SMITH COUNTY LINE (L.M. 0.00) TO EAST OF S.R. 56 (L.M. 6.80).,6.8,MILES
CNW325,PUTNAM,"THE SAFETY IMPROVEMENTS ON U.S. 70N (S.R. 24) AT HAWKINS CRAWFORD ROAD AND PLUNK WHITSON ROAD, ON S.R. 135 NEAR THE I- 40 EB/WB RAMPS, AND VARIOUS INTERSECTIONS ALONG S.R. 135 AND S.R. 136 IN COOKEVILLE.",0.07,MILES
CNW361,ROBERTSON,THE INSTALLATION OF AN OVERHEAD SIGN STRUCTURE ON I-65 NB AT L.M. 16.54.,0,MILES
CNW356,RUTHERFORD,"THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 99 AT THE INTERSECTION OF S.R. 269 (JACKSON RIDGE ROAD) (L.M. 7.74), INCLUDING INSTALLATION OF A FLASHING BEACON.",0.234,MILES
CNW346,SHELBY,"THE GRADING, DRAINAGE, SIGNALS AND PAVING ON AIRWAYS BOULEVARD AT THE INTERSECTION OF KETCHUM ROAD IN MEMPHIS (L.M. 1.92), INCLUDING REALIGNMENT OF RAMP A TO I-240.",0.11,MILES
CNW386,SULLIVAN,"WIDENING OF THE I-26 NB EXIT RAMP AT U.S. 11E (S.R. 1), SAFETY IMPROVEMENTS ON U.S. 11E (S.R. 1) AT S.R. 36, AND CONSTRUCTION OF AN INDUSTRIAL ACCESS ENTRANCE AT S.R. 36 AND S.R. 355, IN SUPPORT OF PROJECT SMOKY.",0,MILES
CNW929,"CARTER, JOHNSON, SULLIVAN, UNICOI, AND WASHINGTON",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,437.54,MILES
CNW714,"CHESTER, HARDEMAN, HARDIN, AND MCNAIRY",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,547.42,MILES
CNW927,"DICKSON, HICKMAN, AND HUMPHREYS",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,371.46,MILES
CNW928,"HOUSTON, MONTGOMERY, AND STEWART",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,323.61,MILES
CNW205,WILSON,"THE EMERGENCY REPAIR OF THE BRIDGES ON I-40 AT U.S. 70 (S.R. 26, SPARTA PIKE) (L.M. 16.82).",0,MILES
CNW245,BEDFORD AND RUTHERFORD,THE RESURFACING ON I-24 FROM EAST OF EPPS MILL ROAD (L.M. 26.55) IN RUTHERFORD COUNTY THROUGH BEDFORD COUNTY TO THE COFFEE COUNTY LINE (L.M. 0.45),7.19,MILES
CNW241,DAVIDSON,THE RESURFACING ON S.R. 155 (BRILEY PARKWAY) FROM THE MCGAVOCK PIKE RAMP (L.M. 12.15) TO THE BRIDGE OVER I-65 (L.M. 15.17) INCLUDING S.R. 6 (BRILEY PARKWAY) FROM ELLINGTON PKWY (L.M. 15.49) TO GALLATIN PIKE (L.M. 16.49).,4.02,MILES
CNW244,MAURY,THE RESURFACING ON I-65 FROM THE MARSHALL COUNTY LINE (L.M. 0.00) TO S.R. 99 (L.M. 10.50).,10.5,MILES
CNW243,RUTHERFORD,THE RESURFACING ON I-24 FROM NEAR MEDICAL CENTER PARKWAY (L.M. 13.60) TO THE STONES RIVER (L.M. 15.52).,1.92,MILES
CNW246,SMITH AND WILSON,THE RESURFACING ON I-40 FROM EAST OF I-840 (L.M. 12.93) IN WILSON COUNTY TO EAST OF S.R. 53 (L.M. 8.60) IN SMITH COUNTY.,23.04,MILES
CNW266,HAYWOOD,THE FULL DEPTH RECLAMATION AND PAVING ON S.R. 179 FROM THE TIPTON COUNTY LINE (L.M. 0.00) TO U.S. 79 (S.R. 1) (L.M. 4.27) AND ON S.R. 222 FROM NEAR STANTON-SOMMERVILLE ROAD (L.M. 3.00) TO U.S. 79 (S.R. 1) (L.M. 4.52).,5.79,MILES
CNW912,BRADLEY,"THE CONSTRUCTION OF A CONCRETE SLAB BRIDGE ON TUNNEL HILL ROAD OVER BLACK FOX CREEK (L.M. 6.15) AND A CONCRETE BOX BRIDGE ON BRYMER CREEK ROAD OVER BRYMER CREEK (L.M. 2.98), INCLUDING GRADING, DRAINAGE AND PAVING.",0.169,MILES
CNW187,ANDERSON,THE RESURFACING ON U.S. 25W (S.R. 9) FROM INDUSTRIAL PARK ROAD (L.M. 1.75) TO NEAR LONGMIRE ROAD (L.M. 9.04).,7.29,MILES
CNW178,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",THE RANDOM ON-CALL SIGNING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW179,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",THE RANDOM ON-CALL SIGNING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW180,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDEMAN, HARDIN, HAYWOOD,
HENDERSON, HENRY, LAKE, LAUDERDALE, MADISON, MCNAIRY, OBION, SHELBY, TIPTON, AND WEAKLEY",THE RANDOM ON-CALL SIGNING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW194,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON, JACKSON,
MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",THE RANDOM ON-CALL SIGNING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNW158,BRADLEY,THE RESURFACING ON U.S. 11 (S.R. 2) FROM OLD HIGHWAY 11 (L.M. 18.20) TO NEAR THE HIWASSEE RIVER (L.M. 20.91).,2.71,MILES
CNW166,CANNON,THE RESURFACING ON S.R. 53 FROM NORTH OF OAK RIDGE DRIVE (L.M. 9.01) TO SOUTH OF HOLLY LANE (L.M. 12.01).,3,MILES
CNW165,CANNON,THE RESURFACING ON U.S. 70S (S.R. 1) FROM EAST OF S.R. 145 (L.M. 6.07) TO EAST OF CUMMINGS HOLLOW ROAD (L.M. 9.56).,3.49,MILES
CNW138,CARTER,THE RESURFACING ON S.R. 143 FROM THE NORTH CAROLINA STATE LINE (L.M. 0.00) TO NEAR ROAN MOUNTAIN STATE PARK (L.M. 7.55).,7.55,MILES
CNW201,CUMBERLAND,"THE RESURFACING ON U.S. 70 (S.R. 1) FROM WEST OF S.R. 24 TO EAST OF VILLAGE WAY AND ON U.S. 127 (S.R. 28) FROM NORTH OF OLD HOMESTEAD HIGHWAY TO NEAR SOUTHGATE DRIVE, INCLUDING S.R. 24 FROM E OF OBED STREET TO S.R. 1.",4.2,MILES
CNW141,DAVIDSON,"THE RESURFACING ON U.S. 31E (S.R. 6) FROM NORTH OF S.R. 45 (OLD HICKORY BOULEVARD) (L.M. 18.60) TO THE SUMNER COUNTY LINE (L.M. 22.87), INCLUDING BRIDGE EXPANSION JOINT REPAIR AND THIN EPOXY OVERLAY.",4.27,MILES
CNW139,DAVIDSON,THE RESURFACING ON U.S. 431 (S.R. 106) FROM NEAR S.R. 254 (OLD HICKORY BOULEVARD) (L.M. 0.00) TO NEAR HARDING PIKE (L.M. 3.78).,3.78,MILES
CNW142,DAVIDSON,"THE RESURFACING ON U.S. 431 (S.R. 65) FROM SOUTH OF GIFFORD PLACE (L.M. 10.65) TO THE ROBERTSON COUNTY LINE (L.M. 16.01), INCLUDING CONCRETE OVERLAYED BRIDGE DECK REPAIR AND THIN EPOXY OVERLAY.",5.14,MILES
CNW140,DAVIDSON,THE RESURFACING ON S.R. 96 FROM S.R. 100 (L.M. 0.00) TO THE WILLIAMSON COUNTY LINE (L.M. 1.71).,1.71,MILES
CNW181,DAVIDSON,"THE GRADING, DRAINAGE, CONSTRUCTION OF BRIDGES, RETAINING WALLS AND PAVING ON I-40 (MM 216) AT THE DONELSON PIKE INTERCHANGE (INCLUDES RELOCATION OF DONELSON PIKE FROM THE TAXIWAY BRIDGES OVER DONELSON PIKE TO I-40).",1.302,MILES
CNW170,DAVIDSON,THE TUNNEL CLEANING OF THE THOMPSON LANE UNDERPASS ON S.R. 155.,0,MILES
CNW182,FENTRESS,THE RESURFACING ON S.R. 85 FROM WEST OF OLD GRIMSLEY ROAD TO U.S. 127 (S.R. 28) AND ON U.S. 127 (S.R. 28) FROM LITTLE ROAD TO NORTH OF LACY ROAD.,8.07,MILES
CNW193,FENTRESS,THE RESURFACING ON U.S. 127 (S.R. 28) FROM SOUTH OF SAWMILL RIDGE ROAD (L.M. 24.56) TO NORTH OF SQUIRREL FLAT ROAD (L.M. 26.26) AND FROM SOUTH OF DRY BRANCH (L.M. 27.90) TO NORTH OF JOE YORK ROAD (L.M. 29.72).,3.52,MILES
CNW125,FRANKLIN,THE RESURFACING ON S.R. 279 FROM U.S. 41A (S.R. 16) (L.M. 0.00) TO NEAR S.R. 127 (L.M. 5.33).,5.33,MILES
CNW143,GILES,THE RESURFACING ON U.S. 31 (S.R. 7) FROM PIGEON ROOST ROAD (L.M. 23.06) TO NORTH OF BUFORDS STATION ROAD (L.M. 29.91).,6.85,MILES
CNW190,GRAINGER,THE RESURFACING ON S.R. 131 FROM NEAR WILLIAMS CREEK BRIDGE (L.M. 7.85) TO U.S. 25E (S.R. 32) (L.M. 17.08).,9.23,MILES
CNW176,GREENE,THE RESURFACING ON S.R. 350 FROM S.R. 351 (L.M. 0.00) TO U.S. 321 (S.R. 35) (L.M. 5.67) AND ON U.S. 321 (S.R. 35) FROM NEAR BRIGHT HOPE ROAD (L.M. 3.90) TO NEAR RICKER AVENUE (L.M. 11.50).,13.27,MILES
CNW144,HAMBLEN,THE RESURFACING ON S.R. 113 FROM NEAR S.R. 340 (L.M. 5.75) TO THE HAWKINS COUNTY LINE (L.M. 13.66).,7.91,MILES
CNW148,HAMBLEN AND JEFFERSON,"THE RESURFACING ON S.R. 92 AND U.S. 11E (S.R. 34) IN JEFFERSON COUNTY, AND ON S.R. 341 IN JEFFERSON AND HAMBLEN COUNTIES.",11.99,MILES
CNW199,HAMILTON,THE SLIDE REPAIR ON S.R. 58 NEAR L.M. 17.,0.138,MILES
CNW197,HAMILTON,"THE TUNNEL CLEANING OF THE MCCALLIE TUNNEL ON U.S. 11 (U.S. 64, S.R. 2), THE STRINGERS RIDGE TUNNEL ON U.S. 127 (S.R. 8), AND THE BACHMAN TUBES ON U.S. 41 (U.S. 76, S.R. 8).",0,MILES
CNW145,HENRY,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNW111,HENRY,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE FROM U.S. 79 (S.R. 76) TO ATLANTIC AVENUE, SERVING TOSH FARMS.",0.132,MILES
CNW198,HENRY,THE RESURFACING ON VARIOUS SECTIONS IN PARIS LANDING STATE PARK.,2.83,MILES
