item_no,description,unit,count
801-01.02,CROWN VETCH MIXTURE (WITH MULCH),UNIT,254
801-07.00,SEED (SUPPLEMENTAL APPLICATION),LB.,253
204-05.00,ROCK DRILLING (BRIDGES),L.F.,252
209-40.47,CATCH BASIN FILTER ASSEMBLY(TYPE 7),EACH,252
711-05.71,51IN SINGLE SLOPE CONCRETE BARRIER WALL,L.F.,251
716-04.15,PLASTIC PAVEMENT MARKING-BIKE SYMBOL/ARROW SHARED,EACH,250
611-07.63,36IN ENDWALL (CROSS DRAIN) 3:1,EACH,249
730-23.37,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,248
795-06.05,CONNECT TO 8IN WATER LINE,EACH,248
611-38.01,"CATCH BASINS, TYPE 38, 0 - 4 DEPTH",EACH,248
621-03.05,36 TEMPORARY DRAINAGE PIPE,L.F.,247
790-40.03,OH COND 1/0 6/1 ACSR RAVEN,L.F.,247
611-01.03,"MANHOLES, > 8 - 12 DEPTH",EACH,247
607-39.04,30 PIPE CULVERT (SIDE DRAIN),L.F.,246
730-03.23,INSTALL PULL BOX (FIBER OPTIC-TYPE A),EACH,246
801-02.15,FERTILIZER,TON,246
611-38.02,"CATCH BASINS, TYPE 38, > 4 - 8 DEPTH",EACH,246
805-12.03,EROSION CONTROL BLANKET (TYPE III),S.Y.,243
707-01.11,CHAIN LINK FENCE (6 FOOT),L.F.,242
790-68.10,MISCELLANEOUS ASSEMBLIES,EACH,241
603-05.20,CONTAINMENT & DISPOSAL OF WASTE(LOCATION & DESCRP),LS,241
611-02.10,"JUNCTION BOX, TYPE 1",EACH,240
790-40.05,OH COND 3/0 6/1 ACSR PIGEON,L.F.,239
790-05.02,POLE 50FT CLASS 2 WOOD,EACH,239
204-03.01,WET EXCAVATION (BRIDGES),C.Y.,239
710-06.11,LATERAL UNDERDRAIN ENDWALL (2:1),EACH,238
604-07.02,RETAINING WALL (DESCRIPTION),S.F.,236
307-02.02,ASPHALT CEMENT (PG70-22)(BPMB-HM) GRADING A-S,TON,236
307-02.03,AGGREGATE (BPMB-HM) GRADING A-S MIX,TON,236
795-08.09,12IN GATE VALVE ASSEMBLY,EACH,235
716-03.09,PLASTIC WORD PAVEMENT MARKING (                      ),EACH,235
201-07.01,REMOVAL AND DISPOSAL OF BRUSH & TREES,LS,235
607-09.02,48 CONCRETE PIPE CULVERT (CLASS III),L.F.,234
795-01.05,8IN DIP RESTRAINED JOINT WATER LINE,L.F.,234
730-15.07,CABINET (DESCRIPTION),EACH,233
705-04.02,GUARDRAIL TERMINAL (TYPE 12),EACH,233
209-09.41,CURB INLET PROTECTION (TYPE 2),EACH,233
611-07.59,24IN ENDWALL (CROSS DRAIN) 6:1,EACH,232
713-15.01,REMOVAL OF EXISTING SIGN POST,EACH,232
790-31.02,SERVICE ASSEMBLY-POLE TYPE,EACH,232
716-04.08,PLASTIC PAVEMENT MARKING (OPTION LANE ARROW),EACH,232
502-04.02,LOAD TRANSFER DOWELS,EACH,231
716-12.10,ENHANCED FLAT LINE THERMO (12IN DOTTED),L.F.,230
716-05.04,PAINTED PAVEMENT MARKING (CHANNELIZATION STRIPING),S.Y.,229
795-14.08,RESTORE ASPHALT,S.Y.,229
209-03.21,FILTER SOCK (12 INCH),L.F.,229
621-03.07,48 TEMPORARY DRAINAGE PIPE,L.F.,228
790-03.03,POLE 40FT CLASS 4 WOOD,EACH,227
795-12.01,REMOVE FIRE HYDRANT,EACH,227
209-03.22,FILTER SOCK (18 INCH),L.F.,226
204-10.01,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS,226
714-09.09,LUMINAIRES (DESCRIPTION),EACH,225
307-03.10,ASPHALT CONC MIX (PG76-22)(BPMB-HM) GR CS,TON,224
716-12.08,ENHANCED FLAT LINE THERMO (12IN BARRIER LINE),L.F.,224
717-01.03,MOBILIZATION (PER CALL-OUT),EACH,223
730-13.03,"VEHICLE DETECTOR (4 - CHANNEL, RACK MOUNT)",EACH,223
604-10.53,CONCRETE REPAIRS,S.Y.,222
502-04.03,TRANSVERSE TIE-BARS,EACH,222
707-01.12,END & CORNER POST ASSEMBLY(CHAIN-LINK FENCE 6),EACH,221
713-16.26,SIGNS (DESCRIPTION),EACH,221
716-01.07,"TEMPORARY RAISED PAVEMENT MARKER,YELLOW",EACH,220
730-23.96,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,220
714-05.04,PULL BOXES (TYPE C),EACH,219
712-06.01,VERTICAL PANELS,S.F.,219
209-40.43,CATCH BASIN FILTER ASSEMBLY(TYPE 3),EACH,219
716-05.49,PAINTED PAVEMENT MARKINGS(8 LINE),L.M.,218
730-08.01,SIGNAL CABLE - 3 CONDUCTOR,L.F.,217
209-03.23,FILTER SOCK (24 INCH),L.F.,217
730-08.40,INTERCONNECT CABLE - FIBER OPTIC (DESCRIPTION),L.F.,217
705-06.02,W BEAM GR (TYPE 2) MASH TL-3 (LONG POST),L.F.,215
713-02.04,DELINEATOR (MILE MARKER) & STEEL POST,EACH,214
790-40.02,OH COND 2 7/1 ACSR SPARATE,L.F.,214
795-01.09,12IN DIP RESTRAINED JOINT WATER LINE,L.F.,213
790-32.02,DOWN GUY - THROUGH BOLT TYPE HEAVY DUTY,EACH,213
716-08.02,REMOVAL OF PAVEMENT MARKING (8 BARRIER LINE),L.F.,212
202-08.15,REMOVAL OF CURB AND GUTTER (DESCRIPTION),L.F.,212
604-03.32,CLASS DS CONCRETE,C.Y.,212
797-07.03,48IN MANHOLE 6FT-8FT DEPTH,EACH,211
611-09.03,CAPPING EXISTING CATCHBASIN,EACH,211
712-02.10,PORTABLE BARRIER RAIL  (MASH TL-3),L.F.,211
716-04.10,PLASTIC PAVEMENT MARKING (HANDICAP SYMBOL),EACH,210
705-04.22,GUARDRAIL DELINEATION ENHANCEMENT (BI-DIRECTIONAL),EACH,209
209-02.03,8 TEMPORARY SLOPE DRAIN,L.F.,209
716-10.30,TRUNCATED DOME DETECTABLE WARNING MAT,S.F.,206
791-06.02,CONNECT TO 2IN EX. PE MAIN,EACH,206
606-03.06,"PILE TIPS (STEEL PILES, 12 INCH)",EACH,204
716-13.03,SPRAY THERMO PVMT MRKNG (60 mil) (8IN BARRIER LINE),L.F.,204
795-11.01,BLOW-OFF ASSEMBLY,EACH,204
797-07.04,48IN MANHOLE 8FT-10FT DEPTH,EACH,204
705-04.24,GUARDRAIL END TERMINAL DELINEATION SHEETING,S.F.,204
712-01.50,MAINTENANCE OF TRAFFIC,EACH,204
793-13.12,1 DUCT FORMATION @ 36IN DEPTH,L.F.,203
795-06.07,CONNECT TO 12IN WATER LINE,EACH,203
790-21.09,1PH PRIMARY TAP 15KV,EACH,203
716-05.21,PAINTED PAVEMENT MARKING(4DOTTED LINE),L.F.,202
795-01.06,8IN DIP SLIP JOINT WATER LINE,L.F.,200
716-03.04,PLASTIC WORD PAVEMENT MARKING (SCHOOL),EACH,200
797-05.52,8IN PVC GRAVITY SEWER 6FT-12FT DEPTH,L.F.,199
790-25.21,3PH CROSSARM DEADEND SGL 15KV,EACH,199
805-01.01,TURF REINFORCEMENT MAT (CLASS I),S.Y.,199
403-05.01,BITUMINOUS MATERIAL (FOG SEAL) SHOULDER,TON,198
795-01.04,6IN DIP SLIP JOINT WATER LINE,L.F.,198
730-26.08,FLASHING WARNING BEACON (DESCRIPTION),EACH,198
790-04.03,POLE 45FT CLASS 3 WOOD,EACH,197
204-15.00,CORE DRILLING FOR PILES(SOIL),L.F.,197
204-14.00,CORE DRILLING FOR PILES(ROCK),L.F.,195
790-46.01,1PH TRANSFORMER,EACH,195
730-09.01,SPAN WIRE ASSEMBLY(____LBS.MIN.BRK STRENGTH),L.F.,195
797-08.05,6IN PVC PIPE FOR SERVICE LATERAL,L.F.,195
797-11.38,BY-PASS PUMPING,LS,194
714-03.00,JACKED OR BORED CONDUIT,L.F.,194
797-11.25,RETIREIN PLACE 48IN MANHOLE,EACH,193
603-02.01,REPAINTING EXISTING STEEL STRUCTURES (LOC. & DES.),LS,192
611-07.64,36IN ENDWALL (CROSS DRAIN) 4:1,EACH,192
716-08.03,REMOVAL OF PAVEMENT MARKING (CROSS-WALK),L.F.,191
716-10.50,PREFORMED PLASTIC PAVEMENT MARKING (INTERSTATE SHIELD),EACH,191
793-13.07,4IN SCHEDULE 40 PVC,L.F.,190
713-17.02,INSTALL AUXILIARY SUPPORT FOR EXIT NUMBER PANEL,EACH,190
405-01.01,BITUMINOUS MATERIAL (BSC),TON,189
730-23.97,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,189
621-03.04,30 TEMPORARY DRAINAGE PIPE,L.F.,188
620-05.00,CONCRETE PARAPET WITH STRUCTURAL TUBING,L.F.,188
203-08.00,CHANNEL EXCAVATION (UNCLASSIFIED),C.Y.,188
716-04.09,PLASTIC PAVEMENT MARKING (H.O.V. DIAMOND),EACH,187
713-11.05,SQUARE TUBE SIGN SUPPORT,LB.,187
607-06.30,30 PIPE CULVERT,L.F.,186
790-40.49,OH COND 795 37 AAC ARBUTUS,L.F.,186
604-10.83,COMPOSITE FIBER ENCASEMENT,S.F.,186
405-01.02,MINERAL AGGREGATE (BSC),TON,185
790-33.04,"SCREW TYPE ANCHOR 10,000LB-12,000LB",EACH,184
602-10.05,BRACING REPAIRS,LS,182
793-13.17,2 DUCT FORMATION @ 36IN DEPTH,L.F.,182
202-02.03,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.,181
805-12.08,700 GRAM COIR FIBER EROSION BLANKET,S.Y.,181
795-01.10,12IN DIP SLIP JOINT WATER LINE,L.F.,181
730-23.38,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,180
701-02.06,DETECTABLE WARNING SURFACE (REHABILITATION),S.F.,179
793-98.08,REMOVE ANCHOR (ANY SIZE),EACH,179
795-08.01,2IN GATE VALVE ASSEMBLY,EACH,179
714-06.06,CABLE (1/C # 4 AWG),L.F.,178
730-13.09,VEHICLE DETECTOR (DESCRIPTION),EACH,178
713-16.07,END OF ROADWAY SIGN AND SUPPORT,EACH,178
730-13.02,VEHICLE DETECTOR (VIDEO),EACH,177
716-08.09,REMOVAL OF PAVEMENT MARKING (DOTTED LINE),L.F.,176
611-07.61,30IN ENDWALL (CROSS DRAIN) 4:1,EACH,176
797-07.05,48IN MANHOLE 10FT-12FT DEPTH,EACH,176
209-10.20,TEMPORARY SEDIMENT TRAP,C.Y.,176
790-26.26,3PH CROSSARM DEAD END 25KV,EACH,176
712-09.30,REMOVABLE BLACK-OUT TAPE (6),L.F.,175
790-40.09,OH COND 336.4 18/1 ACSR MERLIN,L.F.,175
607-07.30,36 PIPE CULVERT,L.F.,174
621-05.02,TEMPORARY SHORING,LS,174
713-11.22,U POST SLIP BASE,EACH,174
716-08.07,REMOVAL OF PAVEMENT MARKING (STRAIGHT-TURN ARROW),EACH,174
795-07.06,8IN X 8IN TAPPING SLEEVE AND VALVE,EACH,173
795-03.05,6IN PVC WATER LINE,L.F.,173
802-12.26,PLATANUS OCCIDENTALIS (SYCAMORE SEEDLNG B.R.),EACH,172
716-12.07,ENHANCED FLAT LINE THERMO (8IN BROKEN LN),L.F.,171
791-06.03,CONNECT TO 4IN EX. PE MAIN,EACH,171
797-10.09,CONNECT EX. 8IN SEWER TO NEW MANHOLE,EACH,171
713-14.22,STREET NAME SIGN (SUSPENDED 0.100IN THICK),S.F.,170
407-07.01,INTELLIGENT COMPACTION EQUIPMENT,LS,170
730-13.13,VEHICLE DETECTOR (RADAR - ADVANCE),EACH,170
604-10.51,SCARIFYING,S.Y.,170
625-02.40,DRILLED SHAFT (SH-SCC) CONCRETE,C.Y.,169
611-07.03,STRUCTURAL STEEL (PIPE ENDWALLS),LB.,169
716-01.06,"TEMPORARY RAISED PAVEMENT MARKER,WHITE",EACH,169
705-80.01,LONGITUDINAL CABLE BARRIER,L.F.,169
202-06.02,REMOVAL OF BUILDINGS (TRACT NO.),LS,169
716-01.12,RAISED PVMT MARKERS (MONO-DIRECTIONAL) (1 COLOR LENS),EACH,169
730-02.08,SIGNAL HEAD ASSEMBLY (130 POLE MOUNTED),EACH,168
790-04.02,POLE 45FT CLASS 2 WOOD,EACH,167
714-25.00,ELECTRICAL CONNECTION,EACH,167
793-01.08,POLE 35FT CLASS 5 WOOD,EACH,167
801-02.08,TEMPORARY SEEDING (WITHOUT MULCH),UNIT,166
801-02.01,CROWN VETCH MIXTURE (WITHOUT MULCH),UNIT,164
802-11.26,PLATANUS OCCIDENTALIS (SYCAMORE 2-5FT CNTNR GRWN),EACH,164
790-98.20,TREE AND BRUSH REMOVAL OFF ROW,LS,164
801-01.38,NATVE SEED MX FINAL STABLIZATN OF SLOPES,UNIT,163
204-10.02,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS,163
716-04.03,PLASTIC PAVEMENT MARKING (4 DOTTED LINE),L.F.,163
802-02.30,CUTTINGS: SALIX NIGRA (18IN-24IN LENGTH),EACH,163
795-07.15,12IN X 12IN TAPPING SLEEVE AND VALVE,EACH,162
730-23.88,CANTILEVER SIGNAL SUPPORT (1 ARM @ 45),EACH,162
712-09.05,REMOVABLE PAVEMENT MARKING (ARROW),EACH,161
611-12.04,"CATCH BASINS, TYPE 12, > 12 - 16 DEPTH",EACH,161
730-12.16,CONDUIT (DESCRIPTION),L.F.,161
795-06.01,CONNECT TO 2IN WATER LINE,EACH,161
730-12.08,CONDUIT 2 DIAMETER (RGS),L.F.,161
730-12.14,CONDUIT 3 DIAMETER (JACK AND BORE),L.F.,161
791-08.07,3/4IN PE SERVICE PIPE,L.F.,161
706-10.80,MICHIGAN AND MODIFIED MICHIGAN END SHOE,EACH,160
795-03.02,2IN PVC WATER LINE,L.F.,160
716-01.10,SNOWPLOWABLE REFLECTIVE MARKER,EACH,160
713-16.27,SIGNS (DESCRIPTION),EACH,160
714-12.01,CONTROL CENTER (NO. 1),LS,159
730-12.07,CONDUIT 1 DIAMETER (RGS),L.F.,159
790-21.08,1PH DEADEND 15KV,EACH,159
713-09.01,STEEL OVERHEAD SIGN STRUCTURE (SPAN____),EACH,159
716-08.30,HYDROBLAST REMOVAL OF PAVEMENT MARKING (LINE),L.M.,158
209-40.48,CATCH BASIN FILTER ASSEMBLY(TYPE 8),EACH,158
209-40.45,CATCH BASIN FILTER ASSEMBLY(TYPE 5),EACH,158
705-02.03,SINGLE GUARDRAIL (TYPE 2) LONG POST,L.F.,158
209-03.20,FILTER SOCK (8 INCH),L.F.,157
209-02.06,15 TEMPORARY SLOPE DRAIN,L.F.,157
714-06.05,CABLE (1/C # 6 AWG),L.F.,157
714-09.10,LUMINAIRES (DESCRIPTION),EACH,157
713-05.00,STEEL HOLLOW SQUARE POST (BREAKAWAY) SIGN SUPPORTS,LB.,157
202-08.10,REMOVAL OF CURB (DESCRIPTION),L.F.,156
716-01.13,RAISED PVMT MARKERS (BI-DIRECTIONAL) (2 COLOR LENS),EACH,156
203-01.11,PRESPLITTING OF ROCK EXCAVATION,S.Y.,156
611-07.62,30IN ENDWALL (CROSS DRAIN) 6:1,EACH,156
797-10.02,CONNECT 8IN SEWER TO EXIST. MANHOLE,EACH,156
801-01.65,TEMPORARY MULCH,UNIT,155
604-07.03,RETAINING WALL (DESCRIPTION),S.F.,155
730-08.04,SIGNAL CABLE - 9 CONDUCTOR,L.F.,155
795-06.33,CUT AND CAP 6IN WATER LINE,EACH,154
791-07.01,2IN PE GAS VALVE ASSEMBLY,EACH,154
712-02.36,REMOVE AND RELOCATE PORTABLE BARRIER RAIL,L.F.,153
713-02.34,DELINEATORS (ALL),EACH,153
740-11.05,TEMPORARY SEDIMENT TUBE 24IN,L.F.,153
790-22.13,1PH DEAD END 25KV,EACH,152
714-08.10,LIGHT STANDARDS (DESCRIPTION),EACH,152
702-01.01,EXTRUDED SLOPING CURB,L.F.,152
790-46.02,1PH TRANSFORMER CONV W/POLE MTD FUSE & LA,EACH,152
793-98.01,REMOVE  AERIAL CABLE AND WIRE,L.F.,151
730-26.05,COUNTDOWN PEDESTRIAN SIGNAL,EACH,151
791-07.02,4IN PE GAS VALVE ASSEMBLY,EACH,151
795-15.02,12IN STEEL CASING PIPE OPEN CUT METHOD,L.F.,151
201-05.31,VEGETATION REMOVAL,LS,150
707-07.01,CHAIN-LINK FENCE (BRIDGES),S.F.,150
795-10.03,1IN AUTO AIR RELEASE VALVE ASSEMBLY,EACH,150
714-06.08,CABLE (DESCRIPTION),L.F.,150
797-11.40,RESTORE ASPHALT,S.Y.,149
707-03.01,STOCK FENCE,L.F.,149
790-69.32,ARM PIN,EACH,148
730-13.01,VEHICLE DETECTOR (SHELF MOUNT),EACH,148
795-08.03,4IN GATE VALVE ASSEMBLY,EACH,148
730-15.11,MODIFY CABINET (DESCRIPTION),EACH,147
707-03.02,"END, BRACED LINE, CORNER POST ASSEMBLY(STOCK FENCE)",EACH,147
611-02.12,"JUNCTION BOX, TYPE 3",EACH,146
714-08.20,FOUNDATION (ONLY) FOR LIGHT STANDARD,EACH,146
607-37.02,18 CORRUGATED METAL PIPE CULVERT,L.F.,146
607-39.05,36 PIPE CULVERT (SIDE DRAIN),L.F.,146
790-30.04,SECONDARY ASSEMBLIES MISC,EACH,146
730-11.01,STEEL CONDUIT RISER ASSEMBLY,EACH,146
795-14.10,RESTORE GRAVEL,S.Y.,145
625-02.13,DRILLED SHAFT-ROCK (DIA.),V.F.,144
797-07.02,48IN MANHOLE 4FT-6FT DEPTH,EACH,144
202-02.04,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.,144
795-06.03,CONNECT TO 4IN WATER LINE,EACH,143
713-20.30,SIGN ADJUSTMENTS,EACH,143
716-13.07,SPRAY THERMO PVMT MRKNG (40 mil) (6IN LINE),L.M.,142
502-08.07,SEALING RANDOM CRACKS (SILICONE SEALANT),L.F.,142
805-01.02,TURF REINFORCEMENT MAT (CLASS II),S.Y.,142
602-10.60,BEARING DEVICE (DESCRIPTION),EACH,142
411-03.07,ACS MIX(PG64-22) THIN LIFT ASPHALT,TON,142
705-07.11,TRUCK MOUNTED ENERGY ATTENUATOR,EACH,142
793-16.04,DIRECTIONAL BORE 4IN/FLEX SLEEVE,L.F.,141
712-02.12,"PORTABLE BARRIER RAIL, REDUCED DEFLECTION (MASH TL-3)",L.F.,141
797-11.31,RETIREIN PLACE EXISTING SEWER 8IN-14IN,L.F.,140
797-08.01,DI FITTINGS,LB.,140
713-16.41,RELOCATE SIGN,LS,140
209-20.04,POLYETHYLENE SHEETING (10 MIL.),S.Y.,140
202-01.13,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.,140
797-05.02,8IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.,139
617-04.02,TYPE 2 THIN EPOXY OVERLAY (LOW-MOD EPOXY),S.Y.,139
611-07.66,42IN ENDWALL (CROSS DRAIN) 3:1,EACH,139
730-05.02,"SERVICE CABLE (2 CONDUCTOR, # 8 AWG)",L.F.,139
611-07.65,36IN ENDWALL (CROSS DRAIN) 6:1,EACH,139
202-04.50,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,139
706-80.18,CABLE BARRIER TERMINAL (REMOVAL),EACH,138
730-40.02,TEMPORARY TRAFFIC SIGNAL SYSTEM,LS,138
625-02.01,DRILLED SHAFT-SOIL (DIA.),V.F.,138
604-11.01,EXPANSION DEVICE (DESCRIPTION),L.F.,138
604-10.90,MISCELLANEOUS BRIDGE ITEMS,LS,137
713-02.11,REMOVAL OF EXISTING DELINEATORS,EACH,137
790-61.01,1PH FUSE CUTOUT XARM MOUNT 25KV,EACH,137
802-12.18,LIQUIDAMBER STYRACIFLUA (SWEETGUM SEEDLNG B.R.),EACH,137
802-11.02,ACER RUBRUM (RED MAPLE 2-5FT CNTNR GRWN),EACH,137
611-09.02,REWORK CATCHBASIN,EACH,137
611-39.01,"CATCH BASINS, TYPE 39, 0 - 4 DEPTH",EACH,136
716-05.09,PAINTED PAVEMENT MARKING(STRAIGHT-TURN ARROW),EACH,136
790-68.13,SGL PHASE MOUNTING BRACKET - FIBERGLASS,EACH,136
611-25.02,"CATCH BASINS, TYPE 25, > 4 - 8 DEPTH",EACH,136
713-30.10,BARRIER MOUNTED SIGN SUPPORT (PERF/KNOCKOUT),EACH,136
716-13.10,SPRAY THERMO PVMT MRKNG (40 mil) (6IN DOTTED LINE),L.F.,135
303-10.04,MINERAL AGGREGATE (SIZE   ),TON,135
797-08.08,6IN CLEAN OUT ASSEMBLY,EACH,135
108-03.00,CPM PROJECT SCHEDULE,LS,135
790-22.15,1PH DEAD END TAP W/ EXTENSION 25KV,EACH,134
713-13.14,FLORESCENT YELLOW SIGN SHEETING,S.F.,134
705-06.26,THRIE BEAM BRIDGE TRANSITION MASH TL-2,EACH,134
202-06.03,REMOVAL OF BUILDINGS (TRACT NO.),LS,134
716-08.08,REMOVAL OF PAVEMENT MARKING (DOUBLE TURNING ARROW),EACH,134
604-03.74,CLASS X CONCRETE,C.Y.,134
802-02.32,CUTTINGS: CORNUS AMOMUM (18IN-24IN),EACH,134
790-25.23,3PH CROSSARM DDE 15KV,EACH,133
791-03.02,2IN HDPE GAS MAIN,L.F.,133
791-10.05,RETIRE IN PLACE 4IN SERV CUT & PLUG,EACH,133
790-30.06,SECONDARY CONDUCTOR 6 AL DUPLEX,L.F.,132
795-14.05,CONCRETE ENCASEMENT,L.F.,132
801-01.34,GRASS SEED MIX (RIPZN/FLPL),UNIT,132
716-13.08,SPRAY THERMO PVMT MRKNG (40 mil) (8IN BARRIER LINE),L.F.,132
730-01.08,SCHOOL SPEED LIMIT FLASHING SIGNAL INSTALLED,EACH,132
202-02.21,REMOVAL OF PIPE (DESCRIPTION),L.F.,131
713-09.02,STEEL OVERHEAD SIGN STRUCTURE (SPAN____),EACH,131
797-05.51,8IN PVC GRAVITY SEWER 0FT-6FT DEPTH,L.F.,131
716-01.14,RAISED PAVEMENT MARKER REMOVAL,EACH,130
716-08.12,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,130
716-03.05,PLASTIC WORD PAVEMENT MARKING (BIKE LANE),EACH,130
611-01.04,"MANHOLES, > 12 - 16 DEPTH",EACH,130
713-04.02,STEEL I-BEAMS & W-F BEAMS FOR SIGN SUPPORTS,LB.,129
502-03.25,FULL DEPTH PCC PAVEMENT REPAIR HIGH EARLY,C.Y.,129
303-10.03,MINERAL AGGREGATE (SIZE 68),TON,129
307-01.22,ASP. CONC. MIX(PG76-22) (BPMB-HM) GR. A-S,TON,129
606-12.01,PILE ANCHORAGE SYSTEM (SEISMIC),EACH,129
795-11.12,RETIRE IN PLACE EXISTING WATER MAIN,L.F.,128
730-09.20,SPAN WIRE ASSEMBLY,L.F.,128
797-07.06,48IN MANHOLE 12FT-14FT DEPTH,EACH,128
611-14.03,"CATCH BASINS, TYPE 14, > 8 - 12 DEPTH",EACH,128
711-05.72,SINGLE SLOPE HALF CONCRETE BARRIER WALL,L.F.,127
795-09.10,SAMPLE TAP,EACH,127
801-01.36,SPECIAL WETLAND SEED MIXTURE,UNIT,127
705-10.30,GUARDRAIL ATTACHMENT TO SLOPE FACE ENDPOST,L.F.,127
725-24.55,AS-BUILT PLANS,LS,127
202-01.56,REMOVAL OF STRUCTURES & OBSTRUCTIONS (DESCRIPTION),LS,127
615-01.12,PRESTRESSED CONCRETE BULB TEE BEAM (6 WEB)(BT-72),L.F.,127
716-08.10,REMOVAL OF PAVEMENT MARKING (TRANSVERSE SHOULDER),L.F.,127
793-98.06,REMOVE PEDESTALS,EACH,126
795-05.63,BORE/JACK 12IN STEEL CASING PIPE-UNCON.,L.F.,126
615-01.03,PRESTRESSED CONCRETE I-BEAM (TYPE III),L.F.,125
713-16.05,RAILROAD CROSS-BUCK SIGN & SUPPORT,EACH,125
611-07.33,30IN ENDWALL (SIDE DRAIN),EACH,125
202-01.50,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,EACH,125
714-06.07,CABLE (1/C # 2 AWG),L.F.,125
790-36.14,TRANSFER CONDUCTOR,EACH,124
790-30.13,SECONDARY CONDUCTOR 2 AL TRIPLEX,L.F.,124
802-02.33,CUTTINGS: SAMBUCUS CANADENSIS (18IN-24IN),EACH,124
204-05.01,CORE DRILLING AND SAMPLING,L.F.,124
795-12.02,REMOVAL OF EXISTING LINE,LS,123
701-01.02,CONCRETE SIDEWALK (6 ),S.F.,123
716-13.09,SPRAY THERMO PVMT MRKNG (40 mil) (4IN DOTTED LINE),L.F.,123
790-21.10,1PH VERTICAL DDE 15KV,EACH,123
795-06.34,CUT AND CAP 8IN WATER LINE,EACH,123
607-03.05,18 CONCRETE PIPE CULVERT(CLASS IV)JACKED-IN-PLACE,L.F.,123
625-02.44,DRILLED SHAFT REINFORCING STEEL,LB.,123
714-12.02,CONTROL CENTER (NO. 2),LS,123
790-06.02,POLE 55FT CLASS 2 WOOD,EACH,123
604-07.04,RETAINING WALL (DESCRIPTION),S.F.,123
797-07.56,MANHOLE DROP CONNECTION ASSEMBLY,EACH,123
725-20.44,PULL BOX (TYPE D),EACH,122
714-05.05,PULL BOXES (DESCRIPTION),EACH,122
795-06.06,CONNECT TO 10IN WATER LINE,EACH,122
621-03.06,42 TEMPORARY DRAINAGE PIPE,L.F.,121
716-03.08,PLASTIC WORD PAVEMENT MARKING (PED-XING),EACH,121
730-08.41,INTERCONNECT CABLE - FIBER OPTIC (DESCRIPTION),L.F.,121
795-05.65,BORE/JACK 16IN STEEL CASING PIPE-UNCON.,L.F.,121
606-09.03,PRECAST CONCRETE PILES (SIZE 1),L.F.,120
791-10.04,RETIRE IN PLACE 2IN SERV CUT & PLUG,EACH,120
802-12.02,ACER RUBRUM (RED MAPLE SEEDLNG B.R.),EACH,120
790-32.06,DOWN GUY - INSULATED,EACH,120
604-10.56,CONCRETE OVERLAYED BRIDGE DECK REPAIR (PARTIAL DEPTH),S.Y.,120
202-04.03,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,119
716-09.94,CONTRAST PAVEMENT SHADOW MARKING 6,L.M.,119
730-23.80,CANTILEVER SIGNAL SUPPORT (1 ARM @ 40),EACH,119
714-01.01,STRUCTURAL LIGHTING (BRIDGE NO.),LS,119
806-02.13,SWATH MOWING,ACRE,118
705-80.03,LONGITUDINAL CABLE BARRIER (END TERMINAL) TL-3,EACH,118
730-18.01,MASTER CONTROLLER,EACH,118
725-23.01,ITS CABLE MARKER,EACH,118
611-07.69,48IN ENDWALL (CROSS DRAIN) 3:1,EACH,118
790-25.01,3PH CROSSARM SGL 15KV,EACH,118
730-23.39,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,117
610-12.02,HORIZONTAL DRAINS,L.F.,117
793-01.40,ANCHOR 3/4IN,EACH,116
805-01.03,TURF REINFORCEMENT MAT (CLASS III),S.Y.,116
716-08.13,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH,116
790-49.02,3PH XFMR BNK POLE MTD W/ FUSE/ARRESTERS,EACH,116
713-16.28,SIGNS (DESCRIPTION),EACH,116
725-20.43,PULL BOX (TYPE C),EACH,116
725-20.45,PULL BOX (TYPE E),EACH,116
791-08.02,3/4IN SERVICE ASSEMBLY,EACH,116
793-02.08,GUY WIRE 10M OR 3/8IN,EACH,115
714-08.11,LIGHT STANDARDS (DESCRIPTION),EACH,115
790-31.11,SERVICE CONDUCTOR 2 AL TRIPLEX,L.F.,115
604-03.07,CLASS A CONCRETE (DESCRIPTION),C.Y.,115
791-06.31,CONNECT TO 2IN EX. STL MAIN W/ STOPPLE,EACH,115
607-09.30,48 PIPE CULVERT,L.F.,115
730-23.98,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,115
611-43.02,"CATCH BASINS, TYPE 43, > 4 - 8 DEPTH",EACH,114
