item_no,description,unit
303-01.04,SELECT SAND BACKFILL,TON
303-01.08,"MINERAL AGGREGATE, TYPE A BASE,GRADING D GRAVEL",TON
303-01.09,"MINERAL AGGREGATE, TYPE A BASE,GRADING D LIMESTONE",TON
303-02.00,"MINERAL AGGREGATE, TYPE B BASE, GRADING (DESCRIPTION)",TON
303-10.01,MINERAL AGGREGATE (SIZE 57),TON
303-10.02,MINERAL AGGREGATE (SIZE 2),TONN
303-10.03,MINERAL AGGREGATE (SIZE 68),TON
303-10.04,MINERAL AGGREGATE (SIZE   ),TON
303-10.05,MINERAL AGGREGATE (SIZE   ),TON
303-10.06,MINERAL AGGREGATE (SIZE   ),TON
303-10.07,MINERAL AGGREGATE (SIZE 4),TON
303-20.00,PEA GRAVEL,TON
303-20.02,RIVER GRAVEL,TON
303-50.01,UNPAVED SHOULDER DROPOFF,MNTH
304-01.02,CEMENT (SOIL-CEMENT BASE),TON
304-01.03,PROCESSING (SOIL-CEMENT BASE),S.Y.
304-01.04,PROCESSING (RECLAIMED BASE MATERIAL),S.Y.
304-01.08,PORTLAND CEMENT (FULL DEPTH PAVEMENT RECLAMATION),TON
304-02.00,BITUMINOUS MATERIAL (SOIL-CEMENT BASE),TON
306-01.01,PORTLAND CEMENT CONCRETE BASE (PLAIN) 6,S.Y.
307-01.01,ASPHALT CONCRETE MIX (PG64-22) (BPMB-HM) GRADING A,TON
307-01.02,ASPHALT CEMENT (PG64-22) (BPMB-HM) GRADING A-S,TON
307-01.03,AGGREGATE (BPMB-HM) GRADING A-S,TON
307-01.07,ASPHALT CONCRETE MIX (PG64-22) (BPMB-HM) GRADING B-M,TON
307-01.08,ASPHALT CONCRETE MIX (PG64-22) (BPMB-HM) GRADING B-M2,TON
307-01.09,ASPHALT CONCRETE MIX (PG64-22) (BPMB-HM) GRADING C,TON
307-01.10,ASPHALT CONCRETE MIX (PG64-22) (BPMB-HM) GRADING C-W,TON
307-01.11,ASPHALT CEMENT (PG64-22) (BPMLC-HM) GRADING CS,TON
307-01.15,ASC MIX (PG64-22) (BPMLC-HM) GRADING CS,TON
307-01.18,ASPHALT CONCRETE MIX (PG64-22) GRADING CM,TON
307-01.20,ASP. CONC. MIX(PG64-22) (BPMB-HM) GR. A-S,TON
307-01.21,ASP. CONC. MIX(PG70-22) (BPMB-HM) GR. A-S,TON
307-01.22,ASP. CONC. MIX(PG76-22) (BPMB-HM) GR. A-S,TON
307-01.25,ASP CONC MIX(PG76-22) (BPMB-HM) GR ACRL,TON
307-02.01,ASPHALT CONCRETE MIX (PG70-22) (BPMB-HM) GRADING A,TON
307-02.02,ASPHALT CEMENT (PG70-22)(BPMB-HM) GRADING A-S,TON
307-02.03,AGGREGATE (BPMB-HM) GRADING A-S MIX,TON
307-02.06,ASPHALT CONCRETE MIX (PG70-22) (BPMB-HM) GRADING B,TON
307-02.07,ASPHALT CONCRETE MIX (PG70-22) (BPMB-HM) GRADING B-M,TON
307-02.08,ASPHALT CONCRETE MIX (PG70-22) (BPMB-HM) GRADING B-M2,TON
307-02.09,ASPHALT CONCRETE MIX (PG70-22) (BPMB-HM) GRADING CAM,TON
307-03.01,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING A,TON
307-03.02,PERF. GRADE ASPH. CEMENT(PG76-22)GRADING AS,TON
307-03.03,AGGREGATE(BPMB-HM) GRADING AS,TON
307-03.06,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING B,TON
307-03.07,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING B-M,TON
307-03.08,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING B-M2,TON
307-03.09,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING C,TON
307-03.10,ASPHALT CONC MIX (PG76-22)(BPMB-HM) GR CS,TON
307-03.11,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING CW,TON
307-03.12,ASPHALT CONCRETE MIX (PG76-22) GRADING CM,TON
307-04.01,ASPHALT CONCRETE MIX (PG82-22) (BPMB-HM) GRADING A,TON
307-04.02,ASPHALT CONCRETE MIX (PG82-22) (BPMB-HM) GRADING A-S,TON
307-04.08,ASPHALT CONCRETE MIX (PG82-22) (BPMB-HM) GRADING B-M2,TON
307-50.12,ASPHALT CONC. MAINT. MIX (PG70-22) GRADING A (PLACED),TON
307-50.24,ASPHALT CONC. MAINT. MIX (PG76-22) GRADING BM2 (PLACED),TON
308-01.10,COLD IN PLACE RECYCLED BITUMINOUS PAVEMENT,S.Y.
308-01.12,ASPHALT CEMENT (PG64-22) COLD IN PLACE RECYCLED,TON
308-01.15,ENGINEERED ASPHALT EMULSION,TON
309-01.01,MINERAL AGGREGATE (A-CBC),TON
309-01.02,PORTLAND CEMENT (A-CBC),TON
309-02.00,BITUMINOUS MATERIAL (A-CBC),TON
309-10.01,PORTLAND CEMENT,TON
311-03.01,HOT IN PLACE RECYCLING OF ASPHALT PAVEMENT  (1.25IN),S.Y.
311-03.04,HOT IN PLACE RECYCLING OF ASPHALT PAVEMENT  (2.00IN),S.Y.
311-03.10,ASPHALT REJUVENATING AGENT,GAL.
313-03.00,TREATED PERMEABLE BASE,S.Y.
402-01.00,BITUMINOUS MATERIAL FOR PRIME COAT (PC),TON
402-02.00,AGGREGATE FOR COVER MATERIAL (PC),TON
403-01.00,BITUMINOUS MATERIAL FOR TACK COAT (TC),TON
403-01.01,BITUMINOUS MATERIAL FOR TACK COAT (MICRO-SURFACING),TON
403-01.10,HIGH PERFORMANCE FOG SEALS,S.Y.
403-01.14,BITUMINOUS PAVEMENT TREATMENTS,S.Y.
403-02.00,ASPHALT CEMENT FOR TACK COAT (TC),TON
403-02.01,TRACKLESS TACK COAT,TON
403-02.02,HOT APPLIED TACK COAT,TON
403-05.00,BITUMINOUS MATERIAL(TC/FOG SEAL)(UNDILUTED),TON
403-05.01,BITUMINOUS MATERIAL (FOG SEAL) SHOULDER,TON
403-05.05,MINERAL AGGREGATE (SAND FOR FOG SEAL),TON
404-01.01,BITUMINOUS MATERIAL (DBST),TON
404-01.02,MINERAL AGGREGATE (DBST),TON
405-01.01,BITUMINOUS MATERIAL (BSC),TON
405-01.02,MINERAL AGGREGATE (BSC),TON
405-03.01,PM REJUVENATING SCRUB SEAL,S.Y.
406-04.01,POLYMER MODIFIED EPOXY PAVEMENT OVERLAY,S.Y.
406-04.02,HIGH FRICTION SURFACE TREATMENT,S.Y.
406-04.03,HIGH FRICTION SURFACE TREATMENT (SINGLE LIFT),S.Y.
406-04.04,HIGH FRICTION SURFACE TREATMENT (DOUBLE LIFT),S.Y.
407-02.11,REMOVAL & DISPOSAL OF EXISTING ASPHALT PAVEMENT,C.Y.
407-02.12,REMOVAL & DISPOSAL OF EXISTING ASPHALT PAVEMENT,TON
407-02.13,REMOVAL & DISPOSAL OF EXISTING ASPHALT PAVEMENT,S.Y.
407-02.14,ASPHALT PAVEMENT REPAIR,S.Y.
407-07.01,INTELLIGENT COMPACTION EQUIPMENT,LS
407-10.03,FIBER GLASS MAT (PAVEMENT REINFORCING),S.Y.
407-20.05,SAW CUTTING ASPHALT PAVEMENT,L.F.
407-30.01,PERMANENT PAVEMENT REPAIR (TIER 2),TON
407-30.02,PERMANENT PAVEMENT REPAIR (TIER 3),TON
407-80.01,TRAFFIC SPEED TABLE (ASPHALT),EACH
411-01.07,ACS MIX (PG64-22) GRADING E SHOULDER,TON
411-01.10,ACS MIX(PG64-22) GRADING D,TON
411-01.11,ACS MIX(PG64-22) GRADING E RDWY,TON
411-01.12,LONGITUDINAL JOINT STABILIZATION,S.F.
411-01.13,ACS MIX(PG64-22) GRADING D LIMESTONE AGGREGATE,TON
411-01.14,ACS MIX(PG64-22) GRADING D VIRGIN MIX,TON
411-01.21,LONGITUDINAL JOINT SEALANT,L.M.
411-01.25,ACS MIX(PG64-22) GRADING D,S.Y.
411-02.10,ACS MIX(PG70-22) GRADING D,TON
411-02.11,ACS MIX(PG70-22) GRADING E RDWY,TON
411-02.14,ACS MIX(PG70-22) GRADING D VIRGIN MIX,TON
411-02.15,ACS MIX(PG70-22) GRADING D LIMESTONE AGGREGATE,TON
411-03.05,ACS MIX(PG64-22) THIN LIFT ASPHALT,S.Y.
411-03.07,ACS MIX(PG64-22) THIN LIFT ASPHALT,TON
411-03.08,ACS MIX(PG70-22) THIN LIFT ASPHALT,TON
411-03.09,ACS MIX(PG76-22) THIN LIFT ASPHALT,TON
411-03.10,ACS MIX(PG76-22) GRADING D,TON
411-03.11,ACS MIX(PG76-22) GRADING E RWDY,TON
411-03.12,ACS MIX(PG64-22) THIN LIFT D ASPHALT,TON
411-03.13,ACS MIX(PG70-22) THIN LIFT D ASPHALT,TON
411-03.14,ACS MIX(PG76-22) THIN LIFT D ASPHALT,TON
411-03.15,ASP CEM(PG76-22)FOR OGFC MIX,TON
411-03.16,AGGREGATE FOR OGFC MIX,TON
411-03.17,ACS MIX(PG64-22) THIN LIFT D ASPHALT,S.Y.
411-03.22,ACS MIX (PG70-22) OGFC,TON
411-03.23,ACS MIX (PG76-22) OGFC,TON
411-03.24,ACS MIX(PG64-22) THIN LIFT E ASPHALT,TON
411-03.26,ACS MIX(PG70-22) THIN LIFT E ASPHALT,TON
411-03.27,ACS MIX(PG76-22) THIN LIFT E ASPHALT,TON
411-03.28,ACS MIX (PG76-22) OGFC GRADING E SHOULDER,TON
411-03.29,ACS MIX (PG64-22) OGFC GRADING E SHOULDER,TON
411-03.34,ACS MIX(PG64-22) THIN LIFT E SHOULDER,TON
411-03.41,ACS MIX(PG64-22) THIN LIFT D ASPHALT WARM MIX,TON
411-03.42,ACS MIX(PG64-22) THIN LIFT D ASPHALT HYDRATED LIME,TON
411-03.43,ACS MIX (PG64-22) THIN LIFT D ASPHALT LIMESTONE,TON
411-04.00,CRACK SEALANT,LB.
411-04.10,ACS MIX(PG82-22) GRADING D,TON
411-05.02,BMD ACS MIX (BALANCED MIX DESIGN),TON
411-12.01,SCORING SHOULDERS (CONTINUOUS) (16IN WIDTH),L.M.
411-12.02,SCORING SHOULDERS (NON-CONTINUOUS) (16IN WIDTH),L.M.
411-12.03,SCORING FOR RUMBLE STRIPE (NON-CONTINUOUS) (8IN WIDTH),L.M.
411-12.04,SCORING FOR RUMBLE STRIPE (NON-CONTINUOUS) (4IN WIDTH),L.M.
411-12.05,SCORING FOR CENTERLINE RUMBLE (4IN WIDTH-24IN SPACING),L.M.
411-12.10,SHOULDER MUMBLE STRIP (NON-CONTINUOUS) (8IN WIDTH),L.M.
411-33.34,STAMPED ASPHALT PATTERN,S.F.
411-33.35,STAMPED ASPHALT (DESCRIPTION),S.F.
411-51.01,POTHOLE TEMPORARY REPAIR (ASPHALT),TON
411-51.02,POTHOLE PERMANENT REPAIR (ASPHALT),TON
411-51.10,INFRARED POTHOLE REPAIR (ASPHALT),S.F.
414-01.05,POLYMER MODIFIED BITUMINOUS SURFACE TREATMENT,S.Y.
414-03.01,EMULSIFIED ASPHALT FOR MICRO-SURFACING,TON
414-03.02,AGGREGATE FOR MICRO SURFACING,TON
414-03.03,MICRO SURFACING,S.Y.
414-04.03,ASPHALT EMULSION (SCRUB SEAL),TON
414-04.04,MINERAL AGGREGATE (SCRUB SEAL),TON
415-01.01,COLD PLANING BITUMINOUS PAVEMENT,TON
415-01.02,COLD PLANING BITUMINOUS PAVEMENT,S.Y.
415-01.03,COLD PLANING BITUMINOUS PAVEMENT,C.Y.
501-01.00,PORTLAND CEMENT CONCRETE PAVEMENT(REPLACEMENT),S.Y.
501-01.01,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 8,S.Y.
501-01.02,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 9,S.Y.
501-01.03,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 10,S.Y.
501-01.04,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 11,S.Y.
501-01.05,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 12,S.Y.
501-01.06,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 13,S.Y.
501-01.13,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 10 FAST TRACK,S.Y.
501-01.15,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 12 FAST TRACK,S.Y.
501-01.16,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 13 FAST TRACK,S.Y.
501-01.21,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 4 ULTRATHIN,S.Y.
501-01.31,CONCRETE REPLACEMENT (FAST TRACK),S.Y.
501-01.41,FULL & PARTIAL DEPTH PCC PAVEMENT REPAIRS,C.Y.
501-01.42,PARTIAL DEPTH PCC PAVEMENT REPAIR,S.Y.
501-03.02,CONCRETE SHOULDERS,S.Y.
501-03.10,CONCRETE SHOULDER RUMBLE STRIPS,L.F.
501-04.03,ROLLER COMPACTED CONCRETE PAVEMENT(DEPTH),S.Y.
501-05.90,REMOVE EXISTING BITUMINOUS MATERIAL,LS
502-01.00,CLEANING AND SEALING JOINTS,L.F.
502-01.02,CLEANING JOINTS,L.F.
502-02.00,HOLES,EACH
502-03.01,CEMENT GROUTING,C.F.
502-03.05,HOT APPLIED FIBER-POLYMER PATCHING MATERIAL,LB.
502-03.13,CONCRETE PAVEMENT REMOVAL,S.Y.
502-03.20,FULL DEPTH PCC PAVEMENT REPAIR,C.Y.
502-03.21,PARTIAL DEPTH PCC PAVEMENT REPAIR,S.Y.
502-03.24,FULL DEPTH PCC PAVEMENT REPAIR HIGH EARLY (DESCRIPTION),C.Y.
502-03.25,FULL DEPTH PCC PAVEMENT REPAIR HIGH EARLY,C.Y.
502-03.26,PARTIAL DEPTH PCC PAVEMENT REPAIR HIGH EARLY,S.Y.
502-04.01,SAWING CONCRETE PAVEMENT (FULL DEPTH),L.F.
502-04.02,LOAD TRANSFER DOWELS,EACH
502-04.03,TRANSVERSE TIE-BARS,EACH
502-06.01,EXPANSION JOINT REPLACEMENT,L.F.
502-07.00,SPALL REPAIR,S.Y.
502-08.00,PRE-ROLLING,S.Y.
502-08.01,RESEALING JOINTS (HOT POURED ELASTIC),L.F.
502-08.02,RESEALING JOINTS (SILICONE SEALANT),L.F.
502-08.03,SEALING SHOULDER JOINTS,L.F.
502-08.07,SEALING RANDOM CRACKS (SILICONE SEALANT),L.F.
502-08.10,SAWING & RESEALING JOINTS (SILICONE SEALANT),L.F.
502-08.23,CLEANING AND RESEALING JOINTS AND CRACKS,L.F.
502-10.00,CEMENT-FLY ASH GROUT,C.F.
502-25.00,SAWING CONCRETE JOINTS,L.F.
502-50.01,TIER 2 PATCHING CONCRETE PAVEMENT,S.F.
503-01.00,GRINDING CONCRETE PAVEMENT,S.Y.
503-01.01,MILLING CONCRETE PAVEMENT,S.Y.
503-60.00,RETROFIT DOWEL BAR,EACH
504-01.00,CRACKING & SEATING CONCRETE PAVEMENT,S.Y.
505-01.00,RUBBLIZATION OF CONCRETE PAVEMENT (___),S.Y.
601-02.00,TREATED TIMBER,MBFM
601-10.05,TREATED TIMBER PILE REPAIRS (SIZE),EACH
601-10.11,TREATED TIMBER (SIDEWALK PLANKS AND CURBS),MBFM
602-01.00,STRUCTURAL STEEL,LB.
602-02.01,STRUCTURAL STEEL (LOCATION & DESCRIPTION),LB.
602-02.02,STRUCTURAL STEEL (LOCATION & DESCRIPTION),LB.
602-02.03,STRUCTURAL STEEL (LOCATION & DESCRIPTION),LB.
602-02.04,STRUCTURAL STEEL (LOCATION & DESCRIPTION),LB.
602-02.05,STRUCTURAL STEEL (LOCATION & DESCRIPTION),LB.
602-02.10,STRUCTURAL STEEL (LOCATION & DESCRIPTION),LS
602-02.11,STRUCTURAL STEEL (W/SUPP. DESCRIPTION),LS
602-02.12,STRUCTURAL STEEL (W/SUPP. DESCRIPTION),LS
602-03.00,STEEL STRUCTURES,LS
602-03.01,STEEL STRUCTURES,LS
602-03.02,PEDESTRIAN BRIDGE,LS
602-04.01,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS
602-04.02,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS
602-04.03,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS
602-04.04,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS
602-04.05,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS
602-04.06,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS
602-04.98,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS
602-04.99,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS
602-08.01,JACKING STRUCTURES (DESCRIPTION),LS
602-10.01,STRUCTURAL STEEL REPAIRS,LS
602-10.05,BRACING REPAIRS,LS
602-10.06,STRUCTURAL STEEL,LB.
602-10.09,STEEL HANDRAIL REPAIRS,L.F.
602-10.10,ANCHOR BOLTS,EACH
602-10.12,BEARING DEVICE (REPAIR),LS
602-10.14,NAVIGATION LIGHTS,LS
602-10.17,STEEL PILING,L.F.
602-10.19,JACKING STEEL SPANS,LS
602-10.20,BOLTS,EACH
602-10.22,STRUCTURAL STEEL WELD REPAIR,EACH
602-10.28,PEDESTRIAN SIDEWALK REPAIRS,LS
602-10.32,STRUCTURAL STEEL (REPAIRS),LB.
602-10.33,STRUCTURAL STEEL TEST FOR CRACKS,LS
602-10.34,MISCELLANEOUS STRUCTURAL STEEL REPAIRS,LB.
602-10.35,STEEL BRIDGERAIL REPAIRS,L.F.
602-10.42,STEEL BEAM (DESCRIPTION),L.F.
602-10.48,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.49,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.50,STRUCTURAL STEEL REPAIR,EACH
602-10.51,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.52,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.53,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.54,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.55,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.56,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.57,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.58,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.59,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH
602-10.60,BEARING DEVICE (DESCRIPTION),EACH
602-10.61,BEARING DEVICE (DESCRIPTION),EACH
602-10.62,BEARING DEVICE (DESCRIPTION),EACH
602-10.63,BEARING DEVICE (DESCRIPTION),EACH
602-10.66,BEARING DEVICE (DESCRIPTION),EACH
602-10.70,STRUCTURAL STEEL CRACK REPAIR,EACH
602-10.71,STRUCTURAL STEEL WELD REPAIR,L.F.
602-10.72,STRUCTURAL STEEL CRACK REPAIR (DESCRIPTION),EACH
602-10.81,HEAT STRAIGHTENING,LS
602-10.82,TRUSS RELOCATION,LS
602-10.83,PIN INSPECTION,LS
602-10.90,AERIAL LIGHTS,LS
602-20.01,ALUMINUM STRUCTURE,LS
603-01.00,PAINT STEEL STRUCTURE,LS
603-01.01,PAINTING STEEL STRUCTURES (LOCATION & DESCRIPTION),LS
603-01.20,PAINTING STEEL CASING (DESCRIPTION),EACH
603-02.01,REPAINTING EXISTING STEEL STRUCTURES (LOC. & DES.),LS
603-02.02,REPAINTING EXISTING STEEL STRUCTURES (LOC. & DES.),LS
603-02.03,REPAINTING EXISTING STEEL STRUCTURES (LOC. & DES.),LS
603-02.04,REPAINTING EXISTING STEEL STRUCTURES (LOC. & DES.),LS
603-02.15,REPAINT EXISTING BEARINGS,LS
603-02.20,SPOT PAINTING EXISTING STEEL STRUCTURES,S.F.
603-02.50,REPAINTING EXISTING ALUMINUM STRUCTURES (DESCRIPTION),LS
603-05.20,CONTAINMENT & DISPOSAL OF WASTE(LOCATION & DESCRP),LS
603-05.21,CONTAINMENT & DISPOSAL OF WASTE(LOCATION & DESCRP),LS
603-05.22,CONTAINMENT & DISPOSAL OF WASTE(LOCATION & DESCRP),LS
603-05.23,CONTAINMENT & DISPOSAL OF WASTE(LOCATION & DESCRP),LS
603-05.40,CONTAINMENT & DISPOSAL OF WASTE(LOCATION & DESCRP),GAL.
604-01.01,CLASS A CONCRETE (ROADWAY),C.Y.
604-01.02,STEEL BAR REINFORCEMENT (ROADWAY),LB.
604-01.04,1-1/2 STEEL PIPE HANDRAIL,L.F.
604-01.20,BOX TUBE SAFETY RAIL,L.F.
604-01.32,CLASS A CONCRETE (LEVELING),C.Y.
604-01.40,"BOX CULVERTS, EXISTING (HEADWALL/WINGWALL EXTENSIONS)",S.F.
604-02.01,CLASS A CONCRETE (BOX BRIDGES),C.Y.
604-02.02,STEEL BAR REINFORCEMENT (BOX BRIDGES),LB.
604-02.03,EPOXY COATED REINFORCING STEEL,LB.
604-02.10,REINFORCEMENT STEEL (ASTM A706),LB.
604-02.30,CONCRETE CULVERT ENCASEMENT (DESCRIPTION),L.F.
604-02.38,EPOXY COATED REINFORCING STEEL COUPLERS,EACH
604-02.41,ENERGY DISSIPATER (DESCRIPTION),EACH
604-02.42,ENERGY DISSIPATER (DESCRIPTION),EACH
604-02.43,ENERGY DISSIPATER (DESCRIPTION),EACH
604-02.44,ENERGY DISSIPATER (DESCRIPTION),EACH
604-02.45,ENERGY DISSIPATER (DESCRIPTION),EACH
604-02.46,ENERGY DISSIPATER (DESCRIPTION),EACH
604-02.48,ENERGY DISSIPATER (DESCRIPTION),EACH
604-03.01,CLASS A CONCRETE (BRIDGES),C.Y.
604-03.02,STEEL BAR REINFORCEMENT (BRIDGES),LB.
604-03.04,PAVEMENT @ BRIDGE ENDS,S.Y.
604-03.05,CLASS A CONCRETE (FOUNDATION SEAL),C.Y.
604-03.06,BRIDGE DRAIN APRON,S.Y.
604-03.07,CLASS A CONCRETE (DESCRIPTION),C.Y.
604-03.08,CLASS A CONCRETE (DESCRIPTION),C.Y.
604-03.09,CLASS D CONCRETE (BRIDGE DECK),C.Y.
604-03.10,CONCRETE OVERLAY (DESCRIPTION),S.Y.
604-03.20,BRIDGE JOINT MODIFICATION,L.F.
604-03.25,CLASS S CONCRETE (FOUNDATION SEAL),C.Y.
604-03.30,CLASS D CONCRETE,C.Y.
604-03.31,CLASS D CONCRETE (DESCRIPTION),C.Y.
604-03.32,CLASS DS CONCRETE,C.Y.
604-03.35,CLASS L CONCRETE,C.Y.
604-03.40,SEISMIC MODIFICATION (DESCRIPTION),EACH
604-03.60,BRIDGE JOINT SEISMIC MODIFICATION (DESCRIPTION),EACH
604-03.74,CLASS X CONCRETE,C.Y.
604-03.75,CLASS X CONCRETE,C.Y.
604-03.76,CLASS X CONCRETE,C.Y.
604-04.01,APPLIED TEXTURE FINISH (NEW STRUCTURES),S.Y.
604-04.02,APPLIED TEXTURE FINISH (EXISTING STRUCTURES),S.Y.
604-04.03,BRIDGE END DRAINS(2X8),EACH
604-04.04,BRIDGE END DRAINS(4X8),EACH
604-04.05,BRIDGE END DRAINS(SIZE),EACH
604-04.10,GRAFFITI PROTECTION SYSTEM(DESCRIPTION),S.Y.
604-04.20,PAINTING CONCRETE SURFACES,S.F.
604-04.41,THREE STAR STATE EMBLEM,EACH
604-04.62,CLEAN & TEXTURE FINISH CONCRETE MEDIAN BARRIER,L.F.
604-05.31,BRIDGE DECK GROOVING (MECHANICAL),S.Y.
604-05.32,BRIDGE DECK GRINDING AND GROOVING,S.Y.
604-06.01,LIGHTWEIGHT CONCRETE (BRIDGES),C.Y.
604-07.01,RETAINING WALL (DESCRIPTION),S.F.
604-07.02,RETAINING WALL (DESCRIPTION),S.F.
604-07.03,RETAINING WALL (DESCRIPTION),S.F.
604-07.04,RETAINING WALL (DESCRIPTION),S.F.
604-07.05,RETAINING WALL (DESCRIPTION),S.F.
604-07.06,RETAINING WALL (DESCRIPTION),S.F.
604-07.07,RETAINING WALL (DESCRIPTION),S.F.
604-07.08,RETAINING WALL (DESCRIPTION),S.F.
604-07.09,RETAINING WALL (DESCRIPTION),S.F.
604-07.10,RETAINING WALL (DESCRIPTION),S.F.
604-07.11,RETAINING WALL (DESCRIPTION),S.F.
604-07.12,RETAINING WALL (DESCRIPTION),S.F.
604-07.13,RETAINING WALL (DESCRIPTION),S.F.
604-07.14,RETAINING WALL (DESCRIPTION),S.F.
604-07.15,RETAINING WALL (DESCRIPTION),S.F.
604-07.16,RETAINING WALL (DESCRIPTION),S.F.
604-07.17,RETAINING WALL (DESCRIPTION),S.F.
604-07.18,RETAINING WALL (DESCRIPTION),S.F.
604-07.19,RETAINING WALL (DESCRIPTION),S.F.
604-07.20,RETAINING WALL (DESCRIPTION),S.F.
604-07.21,RETAINING WALL (DESCRIPTION),S.F.
604-07.22,RETAINING WALL (DESCRIPTION),S.F.
604-07.23,RETAINING WALL (DESCRIPTION),S.F.
604-07.24,RETAINING WALL (DESCRIPTION),S.F.
604-07.25,RETAINING WALL (DESCRIPTION),S.F.
604-07.26,RETAINING WALL (DESCRIPTION),S.F.
604-07.27,RETAINING WALL (DESCRIPTION),S.F.
604-07.28,RETAINING WALL EXCAVATION,C.Y.
604-07.29,RETAINING WALL (DESCRIPTION),S.F.
604-07.30,RETAINING WALL (DESCRIPTION),L.F.
604-07.40,RETAINING WALL (DESCRIPTION),S.F.
604-07.41,RETAINING WALL (DESCRIPTION),S.F.
604-07.42,RETAINING WALL (DESCRIPTION),S.F.
604-07.43,RETAINING WALL (DESCRIPTION),S.F.
604-07.44,RETAINING WALL (DESCRIPTION),S.F.
604-07.45,RETAINING WALL (DESCRIPTION),S.F.
604-07.46,RETAINING WALL (DESCRIPTION),S.F.
604-07.47,RETAINING WALL (DESCRIPTION),S.F.
604-07.48,RETAINING WALL (DESCRIPTION),S.F.
604-07.52,RETAINING WALL (DESCRIPTION),S.F.
604-07.53,RETAINING WALL (DESCRIPTION),S.F.
604-07.54,RETAINING WALL (DESCRIPTION),S.F.
604-07.55,RETAINING WALL (DESCRIPTION),S.F.
604-07.56,RETAINING WALL (DESCRIPTION),S.F.
604-07.57,RETAINING WALL (DESCRIPTION),S.F.
604-07.58,RETAINING WALL (DESCRIPTION),S.F.
604-07.59,RETAINING WALL (DESCRIPTION),S.F.
604-08.10,RETAINING WALL (DESCRIPTION),LS
604-09.10,CLASS A CONCRETE (DESCRIPTION),C.Y.
604-09.80,CONCRETE REPAIRS,EACH
604-09.81,CONCRETE REPAIRS,EACH
604-09.82,CONCRETE REPAIRS,EACH
604-09.83,CONCRETE REPAIRS,EACH
604-09.84,CONCRETE REPAIRS,EACH
604-10.01,CONCRETE REPAIRS,LS
604-10.02,CONCRETE REPAIRS,C.Y.
604-10.04,DEMOLITION WORK,LS
604-10.05,CONCRETE,S.F.
604-10.06,CONCRETE HANDRAIL REPAIR,L.F.
604-10.07,CONCRETE REMOVAL,LS
604-10.08,CONCRETE,LS
604-10.09,CONCRETE,C.Y.
604-10.11,CONCRETE SLAB REPAIRS,S.Y.
604-10.12,CONCRETE SLAB REPAIRS,C.Y.
604-10.13,CONCRETE SLAB REMOVAL,LS
604-10.14,REMOVE EXISTING WEARING SURFACE,LS
604-10.16,EXPANSION JOINT REPAIRS,LS
604-10.17,NON-PENETRATING CONCRETE SEAL,S.Y.
604-10.18,REINFORCING STEEL (REPAIRS),LB.
604-10.19,REINFORCING STEEL (REPAIRS),LS
604-10.20,HYDRODEMOLITION,S.Y.
604-10.21,CONTAINMENT & DISPOSAL OF WASTE,LS
604-10.22,CONCRETE PARAPET REPAIR,L.F.
604-10.23,CONCRETE PARAPET REPAIR,LS
604-10.24,JACKING CONCRETE SPANS,LS
604-10.26,BRACING,EACH
604-10.29,CONCRETE SLOPE PAVING REPAIRS,S.Y.
